countrycode;country;currency_unit;year;rgdpe;rgdpo;pop;emp;avh;hc;ccon;cda;cgdpe;cgdpo;cn;ck;ctfp;cwtfp;rgdpna;rconna;rdana;rnna;rkna;rtfpna;rwtfpna;labsh;irr;delta;xr;pl_con;pl_da;pl_gdpo;i_cig;i_xm;i_xr;i_outlier;i_irr;cor_exp;statcap;csh_c;csh_i;csh_g;csh_x;csh_m;csh_r;pl_c;pl_i;pl_g;pl_x;pl_m;pl_n;pl_k
ABW;Aruba;Aruban Guilder;2019;3921.261230468750000000;3467.299560546870000000;0.106314000000000000;0.047600887715816500;;;3023.694824218750000000;3877.659667968750000000;3912.334716796870000000;3466.241943359370000000;18458.134765625000000000;0.000219558976823464;;;3068.758300781250000000;3018.355957031250000000;3887.623779296870000000;18427.503906250000000000;1.026229262351980000;;;0.645106136798858000;0.043163284659385700;0.035241063684225100;1.790000000000000000;0.849037289619445000;0.841708540916442000;0.950033485889434000;Extrapolated;Extrapolated;Market-based;Regular;Regular;;;0.658242166042327000;0.246366187930107000;0.214084401726723000;0.973115086555480000;-1.091808080673210000;0.000000212569148061;0.883092164993286000;0.815759301185607000;0.744329214096069000;0.707260251045227000;0.622660398483276000;0.813961267471313000;0.616383075714111000
AGO;Angola;Kwanza;2019;228151.015625000000000000;227855.718750000000000000;31.825295000000000000;16.644962310791000000;;1.481984376907340000;155943.718750000000000000;198750.421875000000000000;227771.609375000000000000;223289.312500000000000000;1371321.250000000000000000;0.017415316775441200;0.380316734313965000;0.325579017400742000;222151.062500000000000000;155270.703125000000000000;198864.734375000000000000;1367457.875000000000000000;1.003396272659300000;0.937804400920867000;0.917950809001922000;0.331142336130142000;0.109524033963680000;0.043387677520513500;364.825804980887000000;0.381504148244858000;0.373183518648148000;0.380674779415131000;Extrapolated;Extrapolated;Market-based;Regular;Regular;;48.8889000000000000;0.498669743537903000;0.191709592938423000;0.199723392724991000;0.344350695610046000;-0.113983102142811000;-0.120470255613327000;0.438168644905090000;0.342871785163879000;0.240024119615555000;0.476485759019852000;0.611626505851745000;0.209101334214211000;0.378033250570297000
AIA;Anguilla;East Caribbean Dollar;2019;376.634979248046000000;225.680526733398000000;0.014869000000000000;;;;438.470031738281000000;509.044982910156000000;375.136444091796000000;241.384536743164000000;2385.741943359370000000;;;;223.456710815429000000;457.463562011718000000;527.833801269531000000;2379.581787109370000000;;;;;;0.026000661775469800;2.700000000000000000;1.009065508842460000;1.011856913566580000;1.572529554367060000;Extrapolated;Extrapolated;Market-based;Regular;;;;1.513381361961360000;0.292375534772873000;0.303097963333130000;1.480299949645990000;-2.445800542831420000;-0.143354207277298000;1.064513325691220000;1.029198884963980000;0.732211887836456000;0.768943607807159000;0.602734267711639000;0.902942478656768000;
ALB;Albania;Lek;2019;35890.019531250000000000;36103.042968750000000000;2.880917000000000000;1.075897693634030000;;2.964992046356200000;33399.167968750000000000;40868.316406250000000000;35808.343750000000000000;36288.328125000000000000;229818.328125000000000000;;;;37204.773437500000000000;33426.441406250000000000;40984.562500000000000000;227804.640625000000000000;;;;;;0.027731988579034800;109.850833333333000000;0.419904172420502000;0.426662355661392000;0.421018928289413000;Extrapolated;Extrapolated;Market-based;Regular;;;78.8889000000000000;0.714311897754669000;0.205827802419662000;0.206071287393570000;0.126593604683876000;-0.313949286937714000;0.061144683510065100;0.473077237606049000;0.456882417201996000;0.235588595271111000;0.629831910133361000;0.525462806224822000;0.299344360828400000;
ARE;United Arab Emirates;UAE Dirham;2019;681525.812500000000000000;645956.250000000000000000;9.770529000000000000;5.808834075927730000;;2.746694803237910000;306771.156250000000000000;515623.312500000000000000;678241.187500000000000000;635332.812500000000000000;4510359.500000000000000000;;;;647986.250000000000000000;306717.031250000000000000;533594.312500000000000000;4506529.000000000000000000;;;;;;0.036909028887748700;3.672500000000000000;0.716486454010009000;0.620932877063751000;0.662868738174438000;Extrapolated;Extrapolated;Market-based;Regular;;;;0.355746328830719000;0.328728735446930000;0.127104774117470000;0.889651536941528000;-0.701230943202972000;-0.000000484920633426;0.725060999393463000;0.480579555034637000;0.692487716674804000;0.688881695270538000;0.647336184978485000;0.268753558397293000;
ARG;Argentina;Argentine Peso;2019;991646.312500000000000000;977420.562500000000000000;44.780677000000000000;20.643215179443300000;1609.068997782650000000;3.096804380416870000;826692.562500000000000000;930002.375000000000000000;991465.437500000000000000;978558.812500000000000000;3374818.500000000000000000;0.031311925500631300;0.812184333801269000;0.742373287677764000;975569.000000000000000000;822399.562500000000000000;921896.500000000000000000;3399148.500000000000000000;1.022263288497920000;0.931500852108001000;0.875392675399780000;0.543917655944824000;0.119155518710613000;0.035492207854986200;48.147891666666700000;0.433223813772202000;0.453534245491028000;0.459516078233719000;Extrapolated;Extrapolated;Market-based;Regular;Regular;;80.0000000000000000;0.620382964611053000;0.105573430657387000;0.224423244595528000;0.102728277444839000;-0.079542152583599100;0.026434272527694700;0.476809144020081000;0.616059720516204000;0.312738955020905000;0.647736370563507000;0.631129622459411000;0.377945631742477000;0.758449673652648000
ARM;Armenia;Armenian Dram;2019;41048.628906250000000000;43582.574218750000000000;2.957731000000000000;0.966090977191925000;;3.135994672775260000;42821.804687500000000000;46950.613281250000000000;41045.191406250000000000;43795.687500000000000000;98945.867187500000000000;0.001158020924776790;0.820758283138275000;0.846244394779205000;43260.195312500000000000;43101.312500000000000000;47185.847656250000000000;98812.773437500000000000;1.059019088745110000;1.136325955390930000;1.167809367179870000;0.548671960830688000;0.093098163604736300;0.032631970942020400;480.445128767119000000;0.309524953365326000;0.333115786314011000;0.312195152044296000;Extrapolated;Extrapolated;Market-based;Regular;Regular;;93.3333666666667000;0.757309675216674000;0.094274349510669700;0.220453396439552000;0.089797787368297600;-0.197262197732925000;0.035426978021860100;0.348212659358978000;0.577787220478057000;0.176623538136482000;0.666217088699340000;0.587047994136810000;0.432371884584427000;0.617076575756072000
ATG;Antigua and Barbuda;East Caribbean Dollar;2019;1986.163208007810000000;1603.854492187500000000;0.097118000000000000;;;;1787.816772460930000000;2415.362060546870000000;1979.578002929680000000;1631.650512695310000000;10975.731445312500000000;;;;1511.545043945310000000;1772.288330078120000000;2443.897216796870000000;10993.363281250000000000;;;;;;0.027289992198348000;2.700000000000000000;0.800294280052185000;0.839554131031036000;1.018577814102170000;Extrapolated;Extrapolated;Market-based;Outlier;;;47.7778000000000000;0.808960914611816000;0.384607642889023000;0.286749690771103000;0.029887568205595000;-0.609531581401824000;0.099325761198997500;0.899943828582763000;0.951401710510253000;0.519169032573699000;0.766929209232330000;0.571458816528320000;0.672265648841857000;
AUS;Australia;Australian Dollar;2019;1280843.250000000000000000;1364677.750000000000000000;25.203198000000000000;12.863174438476500000;1726.797659012840000000;3.549666166305540000;949422.125000000000000000;1228674.125000000000000000;1277449.000000000000000000;1355143.250000000000000000;5899094.000000000000000000;0.080601863563060800;0.837902724742889000;0.730661034584045000;1315734.250000000000000000;950036.562500000000000000;1234361.375000000000000000;5913514.000000000000000000;1.040936589241020000;0.976056516170501000;0.957175135612487000;0.571645140647888000;0.048872102051973300;0.033040750771760900;1.438506544213820000;1.074692368507380000;1.080440640449520000;1.018495917320250000;Extrapolated;Extrapolated;Market-based;Regular;Regular;;;0.523887872695922000;0.206068217754364000;0.176718622446060000;0.323159217834473000;-0.235487014055252000;0.005653066094964740;1.043358445167540000;1.099984169006340000;1.167582392692560000;0.608268022537231000;0.694039702415466000;1.043481111526480000;0.849393188953399000
AUT;Austria;Euro;2019;498022.250000000000000000;477705.500000000000000000;8.955102000000000000;4.550281047821040000;1611.374222833020000000;3.381046295166010000;329967.781250000000000000;479295.406250000000000000;496070.750000000000000000;478329.343750000000000000;2875459.750000000000000000;0.036331538110971500;0.803705811500549000;0.774540483951568000;476723.312500000000000000;329227.875000000000000000;480350.968750000000000000;2878110.750000000000000000;1.040850877761840000;0.998128592967987000;0.989646196365356000;0.583859503269195000;0.052600320428609800;0.042769670486450200;0.893276257067393000;0.959664285182952000;0.897201478481292000;0.930478930473327000;Extrapolated;Extrapolated;Market-based;Regular;Regular;;;0.511577546596527000;0.312185794115067000;0.178256332874298000;0.529936730861663000;-0.577150583267211000;0.045194253325462300;0.940321862697601000;0.759177923202514000;1.015175104141230000;0.676696836948394000;0.639682829380035000;0.689651548862457000;0.590330779552459000
